Vpv              	Ipv              	Pcikis           
0.048988443560142286	4.8988216802201006	0                
0.097976206850001121	4.8987309777398513	0.23998564939266381
0.14696306312249732	4.8986402767237092	0.4799590795789076
0.19594901239233545	4.8985495772202459	0.71991918020663326
0.24493405467412568	4.8984588791323169	0.95986595180576084
0.2939181899823799	4.8983681825154335	1.1997993949203514
0.34290141833150695	4.89827748734184 	1.439719510072216
0.39188373973580803	4.8981867935560253	1.6796262977717722
0.4408651542094722	4.8980961012135005	1.9195197585832815
0.48984566176657113	4.8980054102032433	2.1593998929698315
0.53882526242105355	4.8979147205807649	2.3992667015244451
0.58780395618674042	4.8978240324570876	2.6391201846926933
0.6367817430773185	4.897733345665678	2.8789603429847701
0.68575862310633473	4.8976426600955136	3.1187871769102005
0.73473459628718985	4.8975519759686392	3.3586006870539462
0.78370966263313191	4.8974612931740324	3.598400873940419
0.83268382215724912	4.897370611600671	3.8381877377452338
0.88165707487246303	4.8972799313595772	4.0779612793882318
0.93062942079152111	4.8971892523397287	4.3177214991141017
0.9796008599269882	4.8970985746521478	4.5574683975147048
1.0285713922912398	4.8970078982968346	4.7972019748764723
1.0775410178964515	4.8969172228296998	5.0369222317839846
1.1265097367545915	4.8968265486948326	5.2766291688425788
1.1754775488774112	4.8967358756701884	5.5163227863031112
1.224444454276435	4.8966452037557673	5.7560030848938855
1.2734104529629502	4.8965545331736138	5.9956700645699348
1.3223755449479964	4.8964638637016833	6.2353237263291525
1.3713397302423547	4.8963731951179312	6.4749640700806852
1.4203030088565358	4.8962825276444022	6.7145910965589204
1.469265380800767	4.8961918610590516	6.9542048059096579
1.5182268460849806	4.896101195583924	7.1938051992125436
1.5671874047188017	4.8960105312190194	7.4333922762842839
1.6161470567115317	4.8959198672982041	7.6729660375490711
1.6651058020721357	4.8958292047096563	7.912526483788362
1.7140636408092265	4.8957385425651978	8.152073614716258
1.7630205729310491	4.8956478815309623	8.391607431099958
1.8119765984454639	4.8955572213849052	8.6311279329653932
1.8609317173599305	4.8954665614608928	8.8706351210978074
1.9098859296814881	4.8953759026471033	9.1101289959107419
1.9588392354167381	4.8952852442774031	9.3496095569675166
2.0077916345718232	4.8951945865738367	9.5890768050471884
2.0567431271524059	4.8951039293143594	9.8285307405242239
2.1056937131636513	4.8950132729430607	10.067971363314046
2.1546433926102004	4.8949226165717619	10.307398673753715
2.2035921654961474	4.8948319606445523	10.546812672177726
2.2525400318250166	4.8947413051614319	10.786213359896482
2.3014869915997354	4.8946506496783115	11.025600734303227
2.3504330448226072	4.8945599946392804	11.264974798659827
2.399378191495285	4.8944693396002492	11.504335551266928
2.4483224316187413	4.8943786850053073	11.743682992379167
2.4972657651932368	4.8942880299662761	11.983017122247858
2.5462081922182898	4.8941973749272449	12.222337942229831
2.5951497126926419	4.8941067198882138	12.461645450373  
2.6440903266142248	4.8940160644050934	12.700939646852548
2.6930300339801176	4.893925408921973	12.940220534188127
2.741968834786519	4.8938347525506742	13.179488109089357
2.7909067290286997	4.8937440957352862	13.418742374089145
2.8398437167009631	4.893653438475809	13.657983326932079
2.8887797977966021	4.8935627803281534	13.897210970228734
2.9377149723078531	4.8934721217364086	14.13642529906134
2.9866492402258489	4.8933814618123961	14.375626318596124
3.0355826015405691	4.8932908010002052	14.614814025057246
3.0845150562407908	4.8932001388557467	14.853988419794739
3.133446604314027	4.8931094753790205	15.093149502869879
3.1823772457464767	4.8930188105700267	15.332297271554712
3.2313069805229668	4.8929281444287653	15.571431725767543
3.2802358086268848	4.8928374765111471	15.810552868289957
3.3291637300401185	4.8927468059289936	16.049660694786752
3.3780907447429853	4.8926561340145724	16.28875520804689
3.4270168527141656	4.8925654598797053	16.527836403524624
3.4759420539306243	4.892474783524392	16.766904284014981
3.52486634836754 	4.8923841040604543	17.005958846303933
3.5737897359982176	4.8922934219319814	17.245000091690972
3.6227122167940111	4.8922027371389731	17.484028016792113
3.6716337907242296	4.8921120487932512	17.723042621257651
3.7205544577560525	4.8920213573389049	17.962043906358442
3.7694742178544254	4.8919306618877556	18.201031868485078
3.8183930709819678	4.8918399628838927	18.440006507191413
3.8673110170988614	4.8917492598832268	18.67896782032425
3.9162280561627472	4.8916585524416689	18.917915805631605
3.9651441881286065	4.8915678405592189	19.156850465979669
4.0140594129486438	4.8914771237917876	19.395771792069308
4.0629737305721623	4.8913864008071073	19.634679788414182
4.1118871409454316	4.8912956733815349	19.873574452557193
4.1607996440115533	4.8912049397387136	20.112455781939559
4.209711239710316	4.8911141998786434	20.351323772052393
4.2586219279780506	4.8910234538013242	20.590178421935853
4.3075317087474723	4.8909327006185777	20.829019730613258
4.3564405819475196	4.8908419394422253	21.067847689438576
4.4053485475031824	4.8907511711604457	21.306662304877023
4.4542556053353266	4.8906603948850602	21.545463568071156
4.5031617553605097	4.8905696097278906	21.78425147770826
4.5520669974907841	4.8904788156889367	22.023026028455011
4.6009713316334953	4.8903880127681987	22.261787218825425
4.6498747576910731	4.8902971991893196	22.500535047310581
4.6987772755608121	4.8902063740641211	22.739269504117772
4.7476788851346363	4.8901155391689599	22.977990587428483
4.7965795862988596	4.8900246927274793	23.216698295398036
4.8454793789339359	4.8899338338515008	23.455392617633979
4.8943782629141923	4.889842961652846	23.694073556278809
4.9432762381075577	4.8897520770196934	23.932741100577648
4.9921733043752745	4.8896611772875076	24.171395248178015
5.0410694615715945	4.8895702624562887	24.41003599226093
5.0899647095434712	4.8894793316378582	24.648663325799635
5.1388590481302261	4.8893883848322162	24.887277246078895
5.1877524771632126	4.8892974211511842	25.125877745782091
